,Hashtag,Count
0,rape,340
1,abuse,272
2,metoo,141
3,rapeculture,101
4,harassment,84
5,kcafavmusicvideo,61
6,sexualharassment,46
7,sexualabuse,29
8,victimblaming,26
9,children,14
10,sexual,13
11,violence,12
12,women,11
13,survivors,11
14,domesticviolence,11
15,murder,10
16,victims,10
17,india,10
18,caging,9
19,trump,9
20,sexualassault,9
21,stalking,9
22,childabuse,8
23,kids,8
24,streetharassment,8
25,ptsd,8
26,fraud,8
27,parenting,7
28,ramrahim,7
29,trauma,7
30,nhs,7
31,uber,7
32,south,7
33,humantrafficking,6
34,slutshame,6
35,bjp,6
36,parents,6
37,ramrahimverdict,6
38,animalcruelty,5
39,blog,5
40,blogging,5
41,blogger,5
42,dumb,5
43,survivor,5
44,bully,5
45,498a,5
46,law,5
47,sexualviolence,5
48,ramrahimsingh,5
49,rapist,5
50,help,4
51,usa,4
52,csa,4
53,rapevictim,4
54,neglect,4
55,yesallwomen,4
56,feminism,4
57,mentalhealth,4
58,animal,4
59,molestation,4
60,scientology,4
61,men,4
62,workplace,4
63,suicide,4
64,actuallyautistic,4
65,scorpio,4
66,fakecases,4
67,humanrights,4
68,police,4
69,consent,4
70,cruelty,4
71,bbc,4
72,savelives,3
73,slavery,3
74,sex,3
75,sweden,3
76,muslim,3
77,discrimination,3
78,molestration,3
79,cptsd,3
80,pakistan,3
81,justice,3
82,marriage,3
83,girls,3
84,corruption,3
85,safety,3
86,pwd,3
87,eviction,3
88,tenants,3
89,illegal,3
90,georgia,3
91,abortion,3
92,torture,3
93,relationships,3
94,terrorism,3
95,titleix,3
96,domesticabuse,3
97,maritalrape,3
98,lgbt,3
99,islam,3
100,development,3
101,justiceforourdaughters,3
102,racism,3
103,dv,3
104,haryana,3
105,punjab,3
106,womenintech,3
107,kill,3
108,politicians,3
109,clinton,3
110,misogyny,3
111,nfl,3
112,siliconvalley,3
113,victim,3
114,intimidation,3
115,supremecourt,3
116,un,3
117,religion,3
118,faith,3
119,battery,3
120,talaq,3
121,child,3
122,abusedbyservices,2
123,fun,2
124,cyberbullying,2
125,auspol,2
126,privileged,2
127,genocide,2
128,stop,2
129,disability,2
130,killings,2
131,narcissist,2
132,twsp,2
133,depression,2
134,bachelorinparadise,2
135,student,2
136,vaw,2
137,doublestandards,2
138,sad,2
139,rapeophobia,2
140,mp,2
141,israel,2
142,judge,2
143,abuser,2
144,jordan,2
145,lebanon,2
146,laws,2
147,legal,2
148,jury,2
149,criminal,2
150,raped,2
151,health,2
152,scientologytheaftermath,2
153,native,2
154,article,2
155,crazy,2
156,robbery,2
157,free,2
158,taylorswifttrail,2
159,autistic,2
160,breakups,2
161,pedophile,2
162,germany,2
163,addictions,2
164,incredibleindia,2
165,rapistbaba,2
166,jemmabeale,2
167,rapists,2
168,cjs,2
169,prevention,2
170,slutshaming,2
171,sextrafficking,2
172,assault,2
173,gst,2
174,inclusiveworkplace,2
175,shame,2
176,maga,2
177,guilty,2
178,mduduzimanana,2
179,empathy,2
180,family,2
181,bangladesh,2
182,no,2
183,ramrahimvslaw,2
184,tax,2
185,speakup,2
186,healthcare,2
187,celebrities,2
188,cosby,2
189,education,2
190,sexism,2
191,anger,2
192,hate,2
193,love,2
194,kashmir,2
195,progressive,2
196,conflict,2
197,cheating,2
198,humanity,2
199,forensic,2
200,omg,2
201,lookwhatyoumademedo,2
202,ad,2
203,perpetrator,2
204,pray,2
205,transcult,2
206,shrinerscircus,2
207,boycottthecircus,2
208,wildlife,2
209,wildanimals,2
210,bears,2
211,shriners,2
212,moneylaundering,2
213,ayeshagulalai,2
214,antifa,2
215,whiteprivilege,2
216,court,2
217,hrw,2
218,rights,2
219,worship,2
220,loot,2
221,jail,2
222,hospital,2
223,allowed,2
224,news,2
225,waste,2
226,protest,2
227,healing,2
228,war,2
229,poverty,2
230,chandigarh,2
231,crime,2
232,robkardashian,2
233,theft,2
234,narcissisticabuse,2
235,business,2
236,mother,2
237,control,2
238,multan,2
239,hideous,2
240,maximum,2
241,domestic,2
242,judgment,2
243,achieved,1
244,studentnurse,1
245,fuckers,1
246,summerholiday,1
247,surrey,1
248,daysout,1
249,thingstodo,1
250,sexuality,1
251,clergy,1
252,melbourne,1
253,resign,1
254,refugees,1
255,openborder,1
256,ramrahimcase,1
257,asaram,1
258,bapu,1
259,labour,1
260,thatcherite,1
261,cammay,1
262,royalmail,1
263,cycling,1
264,ntc,1
265,msm,1
266,liberalfascists,1
267,rohingya,1
268,kafur,1
269,developed,1
270,developing,1
271,postconflict,1
272,postcolonial,1
273,end,1
274,gbv,1
275,contextmatters,1
276,africa,1
277,middleeast,1
278,pilage,1
279,steal,1
280,democracy,1
281,gendering,1
282,riots,1
283,nodevelopment,1
284,nogovernance,1
285,noprosperity,1
286,divide,1
287,rule,1
288,mahmoodfarooqui,1
289,triggered,1
290,freedom,1
291,climatebarbie,1
292,liberals,1
293,enough,1
294,hc,1
295,culture,1
296,rate,1
297,12thjuly,1
298,cancerian,1
299,bluewhalechallenge,1
300,losingfamily,1
301,eu,1
302,nostalgiachat,1
303,notharassment,1
304,samething,1
305,alcoholism,1
306,addiction,1
307,alcoholichusband,1
308,widow,1
309,singlemom,1
310,takecharge,1
311,bohothogai,1
312,kabila,1
313,rdc,1
314,yazidi,1
315,slave,1
316,isis,1
317,islamist,1
318,terrorists,1
319,be,1
320,tennews,1
321,onpoli,1
322,cas,1
323,pawns,1
324,trumps,1
325,secretforest,1
326,gun,1
327,presciption,1
328,drugs,1
329,uncrop,1
330,oewg8,1
331,prof,1
332,california,1
333,speaktruth,1
334,tip69,1
335,workflirtations,1
336,breakup,1
337,shebox,1
338,howtosurvivetheboss,1
339,beaten,1
340,yelled,1
341,right,1
342,nightmares,1
343,whywomenstay,1
344,whymenabuse,1
345,newark,1
346,grooming,1
347,therealvictims,1
348,gurmeetramrahim,1
349,gardening,1
350,quotes,1
351,ignorant,1
352,public,1
353,educated,1
354,facts,1
355,moneymen,1
356,evil,1
357,lobbied,1
358,ministry,1
359,lifesentence,1
360,ruinslives,1
361,proud,1
362,resist,1
363,yasminqureshi,1
364,coerciveconrtrol,1
365,tcot,1
366,tsot,1
367,teabag,1
368,hs2,1
369,notifications,1
370,arapaio,1
371,roughingit,1
372,notv,1
373,noair,1
374,nowifi,1
375,vacation2017,1
376,outwest,1
377,manipulation,1
378,tytlive,1
379,instagram,1
380,remove,1
381,rtr,1
382,rolltide,1
383,18prisoners,1
384,hijack,1
385,incest,1
386,uberlondon,1
387,topoli,1
388,betsydevos,1
389,catholic,1
390,marriagelaw,1
391,youtube,1
392,faze,1
393,jakepaul,1
394,drama,1
395,whichside,1
396,team10,1
397,ricegum,1
398,femaleartists,1
399,rant,1
400,fury,1
401,genderneutral,1
402,closeencountersofthethirdkind,1
403,divorce,1
404,wow,1
405,csasurvivors,1
406,beavoice,1
407,doyoucare,1
408,southafrica,1
409,boer,1
410,doctors,1
411,lvcourts,1
412,legends,1
413,paedos,1
414,celtic,1
415,psg,1
416,ucl,1
417,uefacl,1
418,neymar,1
419,hepc,1
420,welding,1
421,crochet,1
422,bluehelix,1
423,scrap498a,1
424,mens,1
425,stress,1
426,false,1
427,abc2020,1
428,fail,1
429,appeal,1
430,travesty,1
431,dancember,1
432,seattlemayor,1
433,seattle,1
434,junkie,1
435,kevinpark,1
436,nazi,1
