,Word,count,anger,sad,anx,posemo,negemo,tone,total_counts,main_emotion,emotion,negative_emotion
0,movement,1371,2.125623632385125,0.5358351568198397,0.41938730853391676,2.877199124726482,4.344529540481418,30.278402625820434,2742,anger,negemo,anger
1,sexual,790,4.538291139240518,0.34940506329113913,0.38798734177215205,2.33727848101266,7.22965822784812,14.036924050632948,1580,anger,negemo,anger
2,men,776,2.628917525773201,0.4365077319587627,0.5108762886597936,2.724355670103094,4.806262886597946,27.759432989690776,1552,anger,negemo,anger
3,say,727,2.1983906464924377,0.45250343878954613,0.40145804676753777,2.969105914718023,4.102352132049524,32.21693259972497,1454,anger,negemo,anger
4,get,713,2.0987798036465644,0.4339270687237024,0.38064516129032255,2.7198176718092606,4.06467040673212,29.854712482468514,1426,anger,negemo,anger
5,like,709,2.1680677009873084,0.47430183356840583,0.504894217207334,2.9416078984485226,4.321960507757414,29.776784203103066,1418,anger,negemo,anger
6,go,634,2.216167192429023,0.47484227129337503,0.38523659305993674,2.427082018927447,4.189479495268145,25.717444794952765,1268,anger,negemo,anger
7,rape,624,6.7829166666666785,0.35783653846153834,0.4640064102564102,2.0488301282051307,9.266602564102575,7.079038461538461,1248,anger,negemo,anger
8,know,611,2.2373322422258606,0.4426186579378068,0.43567921440261864,2.9115711947626886,4.314533551554832,32.169034369885495,1222,anger,negemo,anger
9,people,565,2.4515752212389406,0.615451327433628,0.49681415929203515,2.940212389380534,5.027292035398241,26.664318584070866,1130,anger,negemo,anger
10,time,555,2.0076936936936955,0.5645045045045044,0.45837837837837825,2.3277477477477477,4.091387387387392,26.86594594594602,1110,anger,negemo,anger
11,one,551,2.3567876588021788,0.4130490018148819,0.45876588021778597,2.582776769509986,4.554301270417428,27.263829401089023,1102,anger,negemo,anger
12,make,548,2.0264598540145986,0.46718978102189757,0.37890510948905104,3.1909854014598555,4.411222627737226,30.933594890511024,1096,anger,negemo,anger
13,think,514,1.9077237354085608,0.4621595330739298,0.4732101167315174,2.8547276264591464,4.108404669260704,31.4990466926071,1028,anger,negemo,anger
14,would,513,1.7064132553606235,0.33750487329434686,0.4915984405458088,2.936081871345032,3.6436257309941555,34.00290448343089,1026,anger,negemo,anger
15,woman,510,2.523745098039216,0.4911176470588233,0.47370588235294125,2.518725490196082,4.661372549019616,26.294784313725565,1020,anger,negemo,anger
16,need,450,1.7931555555555554,0.38171111111111106,0.4269333333333333,2.698577777777778,3.621733333333339,30.37346666666675,900,anger,negemo,anger
17,abuse,441,5.879229024943319,0.6024716553287977,0.5943537414965983,2.728956916099775,8.748231292517023,11.98027210884355,882,anger,negemo,anger
18,assault,440,5.851886363636376,0.3538636363636363,0.5102954545454543,2.3070909090909084,8.613545454545461,9.173090909090904,880,anger,negemo,anger
19,take,440,1.779613636363638,0.35368181818181826,0.4787272727272725,2.9792045454545466,4.024840909090911,31.20013636363647,880,anger,negemo,anger
20,e,425,2.0185411764705896,0.42712941176470576,0.44912941176470567,2.7095058823529454,4.173694117647062,30.02023529411771,850,anger,negemo,anger
21,tell,405,2.2181728395061726,0.369901234567901,0.5088148148148147,2.4730370370370385,4.120000000000001,29.20377777777787,810,anger,negemo,anger
22,believe,401,1.851571072319202,0.5230423940149623,0.45201995012468804,2.69067331670823,3.9195511221945156,28.37057356608488,802,anger,negemo,anger
23,many,397,2.4780100755667513,0.5920151133501259,0.6188664987405543,2.8196725440806034,5.1223173803526425,25.779471032745676,794,anger,negemo,anger
24,ford,385,1.675974025974026,0.43953246753246755,0.5115584415584414,3.3438181818181802,3.656493506493507,36.382987012987094,770,anger,negemo,anger
25,man,385,2.8026753246753264,0.5358701298701296,0.5560519480519479,2.5401298701298707,5.094857142857146,24.661948051948094,770,anger,negemo,anger
26,see,370,1.9374324324324321,0.40391891891891896,0.4344324324324323,2.631054054054056,4.01016216216216,29.313486486486553,740,anger,negemo,anger
27,never,344,2.540290697674419,0.5090988372093022,0.45165697674418587,2.5409302325581398,4.82994186046512,24.274331395348913,688,anger,negemo,anger
28,u,341,2.4043401759530783,0.5164516129032259,0.5952199413489735,3.1541642228739013,4.588973607038124,30.874076246334393,682,anger,negemo,anger
29,trump,336,2.909345238095238,0.3418154761904762,0.370952380952381,2.359791666666666,4.731517857142857,25.112559523809587,672,anger,negemo,anger
30,want,335,1.9471044776119395,0.4112835820895522,0.4305373134328358,2.4757014925373126,3.8451641791044806,28.824746268656774,670,anger,negemo,anger
31,even,332,2.2688855421686753,0.4346987951807228,0.4196686746987952,2.879819277108434,4.447228915662652,28.461867469879547,664,anger,negemo,anger
32,right,303,1.947029702970296,0.306072607260726,0.48788778877887784,2.8189768976897693,4.036369636963697,30.77792079207928,606,anger,negemo,anger
33,victim,287,3.318745644599302,0.35456445993031355,0.5918815331010452,2.282926829268292,9.449268292682929,7.648153310104529,574,anger,negemo,anger
34,still,286,2.3012237762237753,0.4938111888111887,0.5116083916083914,2.499895104895103,4.5501398601398595,26.527482517482575,572,anger,negemo,anger
35,way,286,1.8017832167832162,0.45702797202797196,0.6129720279720279,2.716328671328671,4.156293706293708,30.74863636363642,572,anger,negemo,anger
36,good,274,1.8416788321167878,0.3526277372262774,0.322043795620438,6.478357664233579,3.8275547445255476,56.01251824817526,548,posemo,posemo,anger
37,support,271,2.122767527675277,0.4416974169741697,0.35612546125461264,7.412214022140223,4.140073800738013,61.316125461254686,542,posemo,posemo,anger
38,well,268,2.1764925373134334,0.40324626865671637,0.4307462686567164,7.082052238805973,4.146044776119403,57.28552238805979,536,posemo,posemo,anger
39,thank,267,0.9321722846441944,0.43247191011235947,0.20059925093632963,11.48157303370788,2.009925093632958,80.39052434456931,534,posemo,posemo,anger
40,every,263,3.005513307984791,0.4322433460076046,0.805893536121673,2.473117870722433,5.472813688212932,23.126768060836525,526,anger,negemo,anger
41,stand,262,1.3267938931297705,0.38854961832061075,0.47820610687022896,3.419160305343509,3.271259541984732,38.390114503816875,524,posemo,posemo,anger
42,speak,253,1.7977075098814224,0.35462450592885375,0.5115415019762845,3.4339130434782583,3.490513833992093,37.30233201581034,506,anger,negemo,anger
43,try,246,2.2209756097560973,0.30715447154471553,0.45821138211382106,2.749674796747969,4.28361788617886,29.051382113821195,492,anger,negemo,anger
44,harassment,241,5.816556016597509,0.29020746887966803,0.6473858921161824,2.4418672199170115,7.725560165975099,13.107842323651456,482,anger,negemo,anger
45,day,241,2.194647302904564,0.769875518672199,0.6528215767634853,2.536639004149378,4.717178423236517,25.540746887966833,482,anger,negemo,anger
46,also,237,2.4928691983122353,0.42759493670886084,0.3849789029535865,3.024810126582278,4.625358649789031,31.338438818565447,474,anger,negemo,anger
47,stop,236,3.210423728813557,0.47423728813559324,0.5988983050847457,2.650974576271186,5.814322033898305,21.45076271186443,472,anger,negemo,anger
48,story,233,1.527081545064377,0.49605150214592275,0.5354077253218884,3.4709871244635204,3.6671244635193143,35.037854077253286,466,anger,negemo,anger
49,forward,229,1.865371179039301,0.24275109170305678,0.46951965065502177,2.943187772925764,4.006550218340611,33.74580786026206,458,anger,negemo,anger
50,today,228,1.7914473684210523,0.3575438596491228,0.5816228070175439,4.023947368421054,3.5614035087719285,42.05837719298253,456,posemo,posemo,anger
51,give,226,2.0365486725663717,0.5046460176991151,0.5138495575221238,4.264823008849557,3.939557522123892,42.50380530973456,452,posemo,posemo,anger
52,back,225,2.3459999999999996,0.5629333333333334,0.7083555555555555,2.4387999999999987,4.405377777777778,25.95813333333337,450,anger,negemo,anger
53,sexually,225,5.374977777777779,0.29262222222222223,0.4478666666666666,1.9644444444444442,7.14657777777778,9.447288888888886,450,anger,negemo,anger
54,really,222,2.483558558558558,0.5364864864864863,0.422972972972973,3.1613513513513505,4.778783783783786,32.25045045045049,444,anger,negemo,anger
